ID,length
1,862
2,1094
3,910
4,19
5,383
6,843
7,1239
8,1293
9,1212
10,1116
11,854
12,1417
13,513
14,1056
15,704
16,550
17,1379
18,181
19,563
20,1905
21,663
22,1481
23,785
24,1587
25,2424
26,527
27,802
28,956
29,1077
30,402
31,880
32,863
33,321
34,298
35,2153
36,633
37,843
38,419
39,1762
40,2244
41,784
42,361
43,544
44,1228
45,150
46,1059
47,1066
48,245
49,189
50,1065
51,255
52,204
53,301
54,431
55,172
56,1778
57,944
58,51
59,852
60,299
61,157
62,1153
63,1625
64,786
65,344
66,469
67,1421
68,41
69,298
70,723
71,1358
72,489
73,881
74,194
75,1491
76,443
77,394
78,837
79,141
80,966
81,601
82,1029
83,1455
84,436
85,2318
86,403
87,185
88,2057
89,1163
90,426
91,634
92,803
93,460
94,265
95,604
96,1064
97,1433
98,699
99,1168
100,484
101,847
102,1157
103,786
104,1585
105,406
106,2397
107,445
108,657
109,1211
110,18
111,915
112,448
113,794
114,1073
115,1357
116,1991
117,366
118,597
119,214
120,1668
121,1244
122,2542
123,880
124,539
125,770
126,1024
127,1018
128,137
129,208
130,465
131,362
132,2303
133,346
134,247
135,2230
136,1058
137,1130
138,2214
139,669
140,1515
141,655
142,669
143,625
144,1040
145,3174
146,954
147,861
148,1233
149,657
150,957
151,152
152,1037
153,404
154,389
155,1493
156,1144
157,718
158,1093
159,281
160,1771
161,159
162,508
163,2354
164,301
165,167
166,503
167,434
168,274
169,657
170,2119
171,441
172,682
173,276
174,292
175,916
176,2086
177,485
178,683
179,317
180,468
181,265
182,1043
183,827
184,420
185,290
186,1828
187,1048
188,2045
189,355
190,646
191,941
192,151
193,882
194,1680
195,399
196,1632
197,593
198,1035
199,647
200,1199
201,2699
202,237
203,614
204,906
205,751
206,1923
207,2018
208,1152
209,1280
210,543
211,384
212,1255
213,1275
214,726
215,207
216,1250
217,326
218,1826
219,642
220,406
221,872
222,1147
223,1112
224,351
225,96
226,1092
227,1189
228,1887
229,1008
230,197
231,379
232,177
233,228
234,1026
235,776
236,748
237,1586
238,284
239,434
240,787
241,1516
242,523
243,551
244,1110
245,3807
246,236
247,130
248,376
249,240
250,4395
251,306
252,224
253,1202
254,2673
255,413
256,335
257,1027
258,575
259,1088
260,142
261,1179
262,203
263,180
264,43
265,1048
266,694
267,596
268,276
269,180
270,2312
271,1601
272,287
273,494
274,1620
275,1360
276,1164
277,756
278,1744
279,541
280,117
281,847
282,335
283,3238
284,2040
285,2928
286,360
287,675
288,1487
289,555
290,1243
291,2818
292,829
293,209
294,277
295,356
296,322
297,2082
298,1371
299,255
300,499
301,2985
302,1119
303,993
304,1006
305,756
306,1279
307,375
308,1674
309,123
310,913
311,1851
312,317
313,507
314,662
315,669
316,276
317,374
318,642
319,1087
320,536
321,780
322,597
323,444
324,43
325,2302
326,785
327,175
328,1558
329,1754
330,2290
331,1204
332,192
333,235
334,143
335,1190
336,379
337,799
338,686
339,778
340,530
341,707
342,944
343,843
344,518
345,559
346,278
347,574
348,537
349,1060
350,329
351,709
352,640
353,1359
354,1077
355,571
356,1050
357,214
358,2219
359,361
360,1131
361,848
362,1214
363,1661
364,723
365,47
366,359
367,2851
368,1684
369,329
370,788
371,1063
372,2276
373,1670
374,834
375,525
376,1316
377,298
378,1132
379,315
380,761
381,1122
382,1134
383,285
384,1415
385,388
386,1426
387,1634
388,1275
389,1342
390,414
391,1623
392,376
393,925
394,1370
395,221
396,380
397,204
398,865
399,1599
400,2920
401,1010
402,899
403,1835
404,1480
405,798
406,1568
407,191
408,1502
409,131
410,107
411,875
412,1961
413,1465
414,1372
415,453
416,557
417,910
418,695
419,153
420,576
421,1037
422,730
423,674
424,1434
425,1344
426,1426
427,1662
428,1126
429,915
430,350
431,1642
432,388
433,331
434,1159
435,350
436,1049
437,168
438,1148
439,1073
440,1667
441,1357
442,332
443,1376
444,585
445,64
446,863
447,3278
448,364
449,1524
450,979
451,230
452,181
453,1588
454,2020
455,1344
456,713
457,646
458,561
459,538
460,404
461,1036
462,102
463,2646
464,678
465,896
466,1170
467,311
468,2064
469,137
470,472
471,980
472,670
473,208
474,580
475,3074
476,228
477,1096
478,106
479,2641
480,1518
481,469
482,1071
483,585
